driver_id,kvs_filename,kvs_tag,kvs_sha256,kvs_authenti_sha256,tbs_sha256
fded7e63-0470-40fe-97ed-aa83fd027bad,,pdfwkrnl.sys,f190919f1668652249fa23d8c0455acbde9d344089fde96566239b1a18b91da2,b49b7bcf44242dac00ca559dca217ec5d935b78c963f23bd0f49f53a610dd569,ad394b7e5cb9ccf6429762405f9840b648e38e8faf2de376f1aa375c6729abb7
043773c5-120a-4c6b-8485-8f1f5c47fd3e,aswarpot.sys,avgarpot.sys,5bd41a29cbba0d24e639f49d1f201b9bd119b11f5e3b8a5fefa3a5c6f1e7692c,0bc755f3e24023d931c637b4c734ae3a4d50567c87fd025114e0520413721751,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
db666d40-c9fa-4039-bfac-a5d7afd61b67,,bedaisy.sys,5d7bfe05792189eaf7193bee85f0c792c33315cfcb40b2e62cc7baef6cafbc5c,c29e726448ad3e6452b5d186afb4668e6fcc942be512fe25ed72cfa1b73a6007,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
9c4e2e75-a8be-4d2f-b016-e2a98281c8ec,,bs_hwmio64.sys,6dafd15ee2fbce87fef1279312660fc399c4168f55b6e6d463bf680f1979adcf,7ea9b2420483183cf7b25d6577848f2dfe2ae064a61d931d6b8b65b31a1b2685,aac7608d0bcb286dc9869eb39125b27a960d9533db860cc9e3148149ca149c4a
7196366e-04f0-4aaf-9184-ed0a0d21a75f,t7.sys,t7.sys,be03e9541f56ac6ed1e81407dcd7cc85c0ffc538c3c2c2c8a9c747edbcf13100,-,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
8d3f27bd-c3fd-48d0-913a-e2caa6fbd025,,rtkiow8x64.sys,3e1f592533625bf794e0184485a4407782018718ae797103f9e968ff6f0973a1,f3308899fc0ebdd04a4dacc386873c25dabe32a8f34607fb335148d2dab667d8,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
b8339454-0e84-4a5b-92d0-6a626ced6677,,ngiodriver.sys,e8eb1c821dbf56bde05c0c49f6d560021628df89c29192058ce68907e7048994,783a127c470a136b07a41bdaf2d78a8e4e73c3fca1a124d33d5f8653ef887d30,37560fb9d548ab62cc3ed4669a4ab74828b5a108e67e829937ffb2d10a5f78dd
45f2c348-bf17-40ab-8306-ef14231cc996,winio32b.sys,winio32b.sys,-,-,d8be9e4d9074088ef818bc6f6fb64955e90378b2754155126feebbbd969cf0ae
933f5671-e995-4976-8392-52d34dcd4e05,,tdklib64.sys,e34afe0a8c5459d13e7a11f20d62c7762b2a55613aaf6dbeb887e014b5f19295,e2decc56788d257ce7f6b1915c90ea5a54fb5232f2bf9f311958de495a4eb308,03cda47a6e654ed85d932714fc09ce4874600eda29ec6628cfbaeb155cab78c9
351ff5ca-f07b-4eb6-9300-d5d31514defb,,nscm.sys,5a661e26cfe5d8dedf8c9644129039cfa40aebb448895187b96a8b7441d52aaa,cdcf71696db4031fe3e70969bbe6169744ff91eebb24d6ffb734f922a850183b,40bddadac24dc61ca4fb5cab2a2bc5d876bc36808311039a7a3e1a4066f7489b
6a7d882b-3d9d-4334-be5f-2e29c6bf9ff8,,kbdcap64.sys,97030f3c81906334429afebbf365a89b66804ed890cd74038815ca18823d626c,72b99147839bcfb062d29014ec09fe20a8f261748b5925b00171ef3cb849a4c1,2cd702a7dec30aa441345672e8992ef9770ce4946f276d767b45b0ed627658fb
14556074-b235-4378-b356-f58721629d72,,mimikatz.sys,deade507504d385d8cae11365a2ac9b5e2773ff9b61624d75ffa882d6bb28952,ed8d68c07947c01ca03d886e6ca795a3f8b2f079e8292f019bba3b97b41eef54,ef14ea05bb066ee9f4188196dd69cd769b283ac4d7555db52f5e76922d3456e1
a66d0413-cc82-4f1e-bcf1-0dcf9d79f6c0,bs_hwmio64_w10.sys,bs_hwmio64_w10.sys,1d0397c263d51e9fc95bcc8baf98d1a853e1c0401cd0e27c7bf5da3fba1c93a8,c3fa4872fd2c286904a0cf37a392ef89fb6ba2a84fc9e1b66c70e0cb5ae28efa,d8be9e4d9074088ef818bc6f6fb64955e90378b2754155126feebbbd969cf0ae
9bf033e4-7295-4b63-8772-638b76851741,,-,7553c76b006bd2c75af4e4ee00a02279d3f1f5d691e7dbdc955eac46fd3614c3,00b3ac33836f15ea53e81746ffa7c2888dc3c98492b59a97ba5a0a64166900d0,c826846e4b1d73edb7561ab1b41c949354e237a91e82fe1be5b7e2e1701f52d1
